"rule_id","current_version_id","version_created_at","version_updated_at"
"019e0488-9a55-7177-a9f7-1118ca1aea5a","019e0488-9a55-7313-bcc5-da5431b6bd14","2026-03-01T10:00:00Z","2026-03-01T10:00:00Z"
"019e0488-9a54-7663-9bf6-7e512282aaa2","019e0488-9a54-73e0-9eaa-75341c333ac1","2026-03-01T10:01:00Z","2026-03-01T10:01:00Z"
"019e0488-9a54-735c-86f2-409d0d749ff8","019e0488-9a54-7972-9ef2-465e10ea5937","2026-03-01T10:02:00Z","2026-03-01T10:02:00Z"
"019e0488-9a55-757f-bd2b-b88b0d6ed097","019e0488-9a55-7700-8638-3100486d9d0d","2026-03-01T10:03:00Z","2026-03-01T10:03:00Z"
"019e0488-9a55-7975-8bb5-a6cd646802a8","019e0488-9a55-7104-8ab3-e607079442be","2026-03-01T10:04:00Z","2026-03-01T10:04:00Z"
"019e0488-9a55-771d-afc7-6a0f362aa455","019e0488-9a55-72cf-8305-00dd34b1a21d","2026-03-01T10:05:00Z","2026-03-01T10:05:00Z"
"019e0488-9a55-7b8b-9e15-28c6255d52ce","019e0488-9a55-7cbd-9ded-e77584aae6ed","2026-03-01T10:06:00Z","2026-03-01T10:06:00Z"
"019e0488-9a55-7062-bdfc-3b38fa967825","019e0488-9a55-7a6f-a4a3-64128735c99a","2026-03-01T10:07:00Z","2026-03-01T10:07:00Z"
"019e0488-9a55-78b1-ae57-dee1314d3f18","019e0488-9a55-71a8-baba-3c53c9cf7a8c","2026-03-01T10:08:00Z","2026-03-01T10:08:00Z"
"019e0488-9a55-72e9-b21a-e9714c3c4a1f","019e0488-9a55-7a4d-ae2c-d9d3ddfcf37c","2026-03-01T10:09:00Z","2026-03-01T10:09:00Z"
"019e0488-9a55-739c-82db-0b6cba193285","019e0488-9a55-74d5-b4af-3114a46953ec","2026-03-01T10:10:00Z","2026-03-01T10:10:00Z"
"019e0488-9a55-7773-aaae-6b7c159526ef","019e0488-9a55-7d95-82e9-b877202207c9","2026-03-01T10:11:00Z","2026-03-01T10:11:00Z"
"019e0488-9a55-7782-8a29-d7cc7c7b8d8a","019e0488-9a55-728f-a0b8-0e39a13e2e8a","2026-03-01T10:12:00Z","2026-03-01T10:12:00Z"
"019e0488-9a55-7696-8c22-7e3c2b3a6891","019e0488-9a55-7b29-92b5-340b41cce61c","2026-03-01T10:13:00Z","2026-03-01T10:13:00Z"
"019e0488-9a55-7eed-a1f1-09cb0a870448","019e0488-9a55-71ce-bff5-ad9aa39c268b","2026-03-01T10:14:00Z","2026-03-01T10:14:00Z"
"019e0488-9a55-7c47-a8f0-67a454650dc9","019e0488-9a55-7e88-9d30-ce31c99775bb","2026-03-01T10:15:00Z","2026-03-01T10:15:00Z"
"019e0488-9a55-78ba-9c10-15fd18619795","019e0488-9a55-798c-88e8-122cfe8b0f82","2026-03-01T10:16:00Z","2026-03-01T10:16:00Z"
"019e0488-9a55-78ed-96cd-3017e9f18265","019e0488-9a55-73e5-99c0-c249ad488364","2026-03-01T10:17:00Z","2026-03-01T10:17:00Z"
"019e0488-9a55-7fb4-a050-9197a1b11713","019e0488-9a55-756e-ba45-507504db6904","2026-03-01T10:18:00Z","2026-03-01T10:18:00Z"
"019e0488-9a55-7149-8e7f-04abd00f718f","019e0488-9a55-7233-9c96-9f1b3c06fe81","2026-04-20T09:00:00Z","2026-04-20T09:00:00Z"
