asset_id,logical_name,logical_full_name,schema_name,table_name,column_name,openmetadata_column_fqn,description,logical_data_type,physical_mapping_full_name
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_tdm,PYMT_PD_TP_CLS_MS,ABB_CMRCL_CODE,dq-db.dq.Schema_tdm.PYMT_PD_TP_CLS_MS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_tdm > PYMT_PD_TP_CLS_MS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dbo,BSC_PYMT_AGRM_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_dbo.BSC_PYMT_AGRM_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dbo > BSC_PYMT_AGRM_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr_str,PYMT_BSC_CHARS_DS_new,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr_str.PYMT_BSC_CHARS_DS_new.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr_str > PYMT_BSC_CHARS_DS_new > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr_str,PYMT_PD_TP_CLS_MS,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr_str.PYMT_PD_TP_CLS_MS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr_str > PYMT_PD_TP_CLS_MS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr,PYMT_BSC_CHARS_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr.PYMT_BSC_CHARS_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr > PYMT_BSC_CHARS_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dbo,BSC_PYMT_AGRM_MS,ABB_CMRCL_CODE,dq-db.dq.Schema_dbo.BSC_PYMT_AGRM_MS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dbo > BSC_PYMT_AGRM_MS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_OWNER_PUB,BSC_PYMT__BES_BS_1ADCFD5EB25DA,ABB_CMRCL_CODE,dq-db.dq.Schema_OWNER_PUB.BSC_PYMT__BES_BS_1ADCFD5EB25DA.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_OWNER_PUB > BSC_PYMT__BES_BS_1ADCFD5EB25DA > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_tdm,PYMT_BSC_CHARS_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_tdm.PYMT_BSC_CHARS_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_tdm > PYMT_BSC_CHARS_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,,HN_DRB_PYMT_AGRM,ABB_CMRCL_CODE,,Code for deviating power of disposal used in case of blocking an account.,A1,HN_DRB_PYMT_AGRM > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_OWNER_PUB,BSC_PYMT__BES_BS_1ADCFD70226F1,ABB_CMRCL_CODE,dq-db.dq.Schema_OWNER_PUB.BSC_PYMT__BES_BS_1ADCFD70226F1.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_OWNER_PUB > BSC_PYMT__BES_BS_1ADCFD70226F1 > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr,PYMT_BSC_CHARS_DS_new,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr.PYMT_BSC_CHARS_DS_new.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr > PYMT_BSC_CHARS_DS_new > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr_str,PYMT_BSC_CHARS_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr_str.PYMT_BSC_CHARS_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr_str > PYMT_BSC_CHARS_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dih,BSC_PYMT_AGRM_MS,ABB_CMRCL_CODE,dq-db.dq.Schema_dih.BSC_PYMT_AGRM_MS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dih > BSC_PYMT_AGRM_MS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr,PYMT_PD_TP_CLS_MS,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr.PYMT_PD_TP_CLS_MS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr > PYMT_PD_TP_CLS_MS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_cliq,BSC_PYMT_AGRM_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_cliq.BSC_PYMT_AGRM_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_cliq > BSC_PYMT_AGRM_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr,PYMT_BSC_CHARS_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr.PYMT_BSC_CHARS_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr > PYMT_BSC_CHARS_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_bankanaly,BSC_PYMT_AGRM_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_bankanaly.BSC_PYMT_AGRM_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_bankanaly > BSC_PYMT_AGRM_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dgs,BSC_PYMT_AGRM_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_dgs.BSC_PYMT_AGRM_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dgs > BSC_PYMT_AGRM_DS > ABB_CMRCL_CODE
154c3402-4862-4553-9efa-83f84131e297,ABB Commercial Code,ABB Commercial Code,Schema_dwfr,BSC_PYMT_AGRM_DS,ABB_CMRCL_CODE,dq-db.dq.Schema_dwfr.BSC_PYMT_AGRM_DS.ABB_CMRCL_CODE,Code for deviating power of disposal used in case of blocking an account.,A1,Schema_dwfr > BSC_PYMT_AGRM_DS > ABB_CMRCL_CODE
