"attr-46","inventory_id","string",false,"uuid",false,"dov-12"
"attr-47","product_id","string",false,"uuid",false,"dov-12"
"attr-48","warehouse_id","string",false,"",false,"dov-12"
"attr-49","quantity_on_hand","number",false,"",false,"dov-12"
"attr-50","reorder_level","number",false,"",false,"dov-12"
"attr-51","last_stock_check","timestamp",true,"",false,"dov-12"
"attr-52","date_id","number",false,"",false,"dov-13"
"attr-53","date","date",false,"",false,"dov-13"
"attr-54","year","number",false,"",false,"dov-13"
"attr-55","month","number",false,"",false,"dov-13"
"attr-56","day_of_month","number",false,"",false,"dov-13"
"attr-57","quarter","number",false,"",false,"dov-13"
"attr-58","week_of_year","number",false,"",false,"dov-13"
"attr-59","sales_id","string",false,"uuid",false,"dov-14"
"attr-60","date_id","number",false,"",false,"dov-14"
"attr-61","customer_id","string",false,"",false,"dov-14"
"attr-62","product_id","string",false,"",false,"dov-14"
"attr-63","quantity","number",false,"",false,"dov-14"
"attr-64","unit_price","decimal",false,"",false,"dov-14"
"attr-65","total_amount","decimal",false,"",false,"dov-14"
"attr-66","discount_percent","decimal",true,"",false,"dov-15"
"attr-67","tax_amount","decimal",true,"",false,"dov-15"
"attr-68","region","string",true,"",false,"dov-15"
"attr-69","event_id","string",false,"uuid",false,"dov-16"
"attr-70","user_id","string",false,"",false,"dov-16"
"attr-71","page_url","string",false,"",false,"dov-16"
"attr-72","timestamp","timestamp",false,"",false,"dov-16"
"attr-73","session_id","string",false,"",false,"dov-16"
"attr-74","page_title","string",true,"",false,"dov-17"
"attr-75","referrer_url","string",true,"",false,"dov-17"
"attr-76","device_type","string",true,"",false,"dov-17"
"attr-77","browser","string",true,"",false,"dov-17"
"attr-78","event_id","string",false,"uuid",false,"dov-18"
"attr-79","session_id","string",false,"",false,"dov-18"
"attr-80","user_id","string",false,"",false,"dov-18"
"attr-81","element_id","string",false,"",false,"dov-18"
"attr-82","element_text","string",true,"",false,"dov-18"
"attr-83","timestamp","timestamp",false,"",false,"dov-18"
"attr-84","country_id","string",false,"uuid",false,"dov-19"
"attr-85","iso_code","string",false,"",false,"dov-19"
"attr-86","iso_numeric","number",false,"",false,"dov-19"
"attr-87","country_name","string",false,"",false,"dov-19"
"attr-88","region","string",true,"",false,"dov-19"
"attr-89","currency_code","string",true,"",false,"dov-19"
"attr-90","currency_code","string",false,"",false,"dov-20"
"attr-91","currency_name","string",false,"",false,"dov-20"
"attr-92","symbol","string",true,"",false,"dov-20"
"attr-93","decimal_places","number",false,"",false,"dov-20"
"attr-94","is_active","boolean",false,"",false,"dov-20"
"attr-5","created_at","timestamp",false,"",false,"dov-1"
"attr-6","phone","string",true,"phone",false,"dov-2"
"attr-7","customer_segment","string",true,"",false,"dov-2"
"attr-8","lifetime_value","decimal",true,"",false,"dov-2"
"attr-9","preferred_language","string",true,"",false,"dov-3"
"attr-10","is_active","boolean",false,"",false,"dov-3"
"attr-11","contact_id","string",false,"uuid",false,"dov-4"
"attr-12","customer_id","string",false,"uuid",false,"dov-4"
"attr-13","contact_type","string",false,"",false,"dov-4"
"attr-14","phone_number","string",true,"",false,"dov-4"
"attr-15","email_address","string",true,"email",false,"dov-4"
"attr-16","is_primary","boolean",false,"",false,"dov-5"
"attr-17","verified_at","timestamp",true,"",false,"dov-5"
"attr-18","order_id","string",false,"uuid",false,"dov-6"
"attr-19","customer_id","string",false,"uuid",false,"dov-6"
"attr-20","order_date","date",false,"",false,"dov-6"
"attr-21","total_amount","decimal",false,"",false,"dov-6"
"attr-22","status","string",false,"",false,"dov-6"
"attr-23","currency","string",false,"",false,"dov-6"
