"id","ruleId","attributeId","workspace","threshold_override"
"019e0488-9a55-78cc-bde3-634258b73903","019e0488-9a55-7177-a9f7-1118ca1aea5a","019e0488-9a53-7fd4-9ca2-014d3d0f6e48","default","82"
"019e0488-9a55-7be7-8bac-71fa2d62a086","019e0488-9a54-7663-9bf6-7e512282aaa2","019e0488-9a53-7fd4-9ca2-014d3d0f6e48","default","90.0"
"019e0488-9a55-76f9-a7f3-c0ad43cbf350","019e0488-9a54-735c-86f2-409d0d749ff8","019e0488-9a53-7bf1-8d71-685ed98b6ee4","default",""
"019e0488-9a55-7b60-8f4e-3790acbf19e3","019e0488-9a55-757f-bd2b-b88b0d6ed097","019e0488-9a53-7554-b60c-62fe13342371","default",""
"019e0488-9a55-7fda-8790-eb42593636e7","019e0488-9a55-771d-afc7-6a0f362aa455","019e0488-9a53-7f01-a813-28c764c95409","default","82"
"019e0488-9a55-729b-811f-0125a5e4acaa","019e0488-9a54-7663-9bf6-7e512282aaa2","019e0488-9a53-7f01-a813-28c764c95409","default",""
"019e0488-9a55-750e-b11e-f3a3a81ec2d1","019e0488-9a55-7177-a9f7-1118ca1aea5a","019e0488-9a53-78d6-825b-b7ec93cc8f9f","default",""
"019e0488-9a55-7d0a-9722-be695afb3464","019e0488-9a55-754f-88dd-3b8ca315a4d8","019e0488-9a53-722e-80ff-f4c5efb49f76","default","99"
"019e0488-9a55-7603-a04c-c66b1b5dd883","019e0488-9a55-7177-a9f7-1118ca1aea5a","019e0488-9a53-7074-9cf2-7ed79b5202b9","default",""
"019e0488-9a55-704d-a0b3-8e075797c191","019e0488-9a54-7663-9bf6-7e512282aaa2","019e0488-9a53-79e8-8be0-2e346f48d3c8","default",""
"019e0488-9a55-73f7-b0fa-4ca8c0fa0191","019e0488-9a55-7177-a9f7-1118ca1aea5a","019e0488-9a53-7915-8b5d-d6b72b3b9077","default","85"
"019e0488-9a55-7f53-8e05-dace4b65f798","019e0488-9a55-7177-a9f7-1118ca1aea5a","019e0488-9a53-7410-ba50-aea39fc9b58c","default",""
"019e0488-9a55-7976-a8c0-362657a0929c","019e0488-9a54-7663-9bf6-7e512282aaa2","019e0488-9a53-76fd-9bbb-e3a5c75c9f58","default",""
"019e0488-9a55-75d8-a2ad-5f1d981608ce","019e0488-9a54-735c-86f2-409d0d749ff8","019e0488-9a53-78da-b1bd-adc94123419e","default",""
"019e0488-9a55-7754-9f19-ab59f6a5008a","019e0488-9a55-757f-bd2b-b88b0d6ed097","019e0488-9a53-792f-b3e5-9677d7d5e1d4","default",""
"019e0488-9a55-7eec-8333-8f31829f3418","019e0488-9a55-771d-afc7-6a0f362aa455","019e0488-9a53-7458-91e8-a3f42b5a7fb3","default",""
"019e0488-9a55-72ff-9354-c389cfb5984d","019e0488-9a55-754f-88dd-3b8ca315a4d8","019e0488-9a53-7fd4-9ca2-014d3d0f6e48","default",""
"019e0488-9a55-7b9c-bdc4-cc8a6d79118a","019e0488-9a55-7ba7-b65a-5ac1e55d151e","019e0488-9a53-722e-80ff-f4c5efb49f76","default",""
"019e0488-9a55-705c-af32-715e14a74262","019e0488-9a55-7cf8-8b89-3f877e0555c7","019e0488-9a53-7f01-a813-28c764c95409","default",""
"019e0488-9a55-72cc-b7ad-631579b3f363","019e0488-9a55-71a1-977d-1244707f2524","019e0488-9a53-7b0d-ba7f-a0efc403aa6f","default",""
"019e0488-9a55-7344-aabd-77d3dde04db0","019e0488-9a55-7149-8e7f-04abd00f718f","019e0488-9a53-7ac4-becc-875bc375cf10","default",""
