id,data_object_id,version,timestamp,record_count,size_bytes,status,attributes_count,data_object_version_id,layer,delivery_location
019e0488-9a53-7188-8bed-30df830776e0,019e0488-9a53-7c72-af10-87d726eef784,3,2026-02-20T08:30:00Z,14500,45600000,completed,10,019e0488-9a53-7a7f-8cde-a785bd046bc9,standardized,analytics/Customer/v3/LOAD_DTS=20260220T083000000Z
019e0488-9a53-7b8a-8694-f5213d02b890,019e0488-9a53-7c72-af10-87d726eef784,3,2026-02-19T08:30:00Z,14450,45300000,completed,10,019e0488-9a53-7a7f-8cde-a785bd046bc9,standardized,analytics/Customer/v3/LOAD_DTS=20260219T083000000Z
019e0488-9a53-7187-85e6-94cd1fbfcefe,019e0488-9a53-7c72-af10-87d726eef784,3,2026-02-18T08:30:00Z,14420,45100000,completed,10,019e0488-9a53-7a7f-8cde-a785bd046bc9,standardized,analytics/Customer/v3/LOAD_DTS=20260218T083000000Z
019e0488-9a53-70e5-b087-0854f256da94,019e0488-9a53-7203-b971-1ca3f76a4c1f,2,2026-02-20T10:15:00Z,8900,23400000,completed,7,019e0488-9a53-7696-a119-0df02b990033,standardized,analytics/Contact/v2/LOAD_DTS=20260220T101500000Z
019e0488-9a53-73ad-a3c5-89ec1c665e02,019e0488-9a53-7203-b971-1ca3f76a4c1f,2,2026-02-19T10:15:00Z,8850,23200000,completed,7,019e0488-9a53-7696-a119-0df02b990033,standardized,analytics/Contact/v2/LOAD_DTS=20260219T101500000Z
019e0488-9a53-7bf9-acb3-337c7b084746,019e0488-9a53-7a36-bc19-d93e75ef1e05,2,2026-02-20T12:00:00Z,34000,95600000,completed,9,019e0488-9a53-7f31-9445-917a81329425,standardized,analytics/Order/v2/LOAD_DTS=20260220T120000000Z
019e0488-9a53-764f-ad70-eae5a0839c0f,019e0488-9a53-7a36-bc19-d93e75ef1e05,2,2026-02-19T12:00:00Z,33500,93800000,completed,9,019e0488-9a53-7f31-9445-917a81329425,standardized,analytics/Order/v2/LOAD_DTS=20260219T120000000Z
019e0488-9a53-7a68-b558-f0347d75ec35,019e0488-9a53-785b-990e-2f4738a0f9eb,2,2026-02-20T14:45:00Z,215000,450000000,completed,10,019e0488-9a53-76be-ab52-240e4250f6a4,standardized,analytics/Transaction/v2/LOAD_DTS=20260220T144500000Z
019e0488-9a53-7978-805a-79949a2dfa01,019e0488-9a53-785b-990e-2f4738a0f9eb,2,2026-02-19T14:45:00Z,210000,440000000,completed,10,019e0488-9a53-76be-ab52-240e4250f6a4,standardized,analytics/Transaction/v2/LOAD_DTS=20260219T144500000Z
019e0488-9a53-72a8-b2c3-3fed49503720,019e0488-9a53-7dd4-91fb-42cbc0ac809a,2,2026-02-20T09:00:00Z,4500,15300000,completed,9,019e0488-9a53-7154-a09b-cdc371ca11d6,standardized,analytics/Product/v2/LOAD_DTS=20260220T090000000Z
019e0488-9a53-7251-abac-b6c242ebdc81,019e0488-9a53-7dd4-91fb-42cbc0ac809a,2,2026-02-19T09:00:00Z,4480,15200000,completed,9,019e0488-9a53-7154-a09b-cdc371ca11d6,standardized,analytics/Product/v2/LOAD_DTS=20260219T090000000Z
019e0488-9a53-7995-96be-12d9dc3b8bb7,019e0488-9a53-7c5b-be3e-ae7933c031cf,1,2026-02-20T11:30:00Z,6700,18900000,completed,6,019e0488-9a53-7f29-af9c-00ceda87d180,standardized,analytics/Inventory/v1/LOAD_DTS=20260220T113000000Z
019e0488-9a53-7e29-a15f-ff2f1087e323,019e0488-9a53-75f7-86df-5d2d65f06b39,1,2026-02-20T06:00:00Z,367,124000,completed,7,019e0488-9a53-742a-b846-c5671ba06141,standardized,analytics/DimDate/v1/LOAD_DTS=20260220T060000000Z
019e0488-9a53-7dee-87fa-0dd2dd7b3bed,019e0488-9a53-7a0c-89c2-98286166c79e,2,2026-02-20T13:15:00Z,85000,280000000,completed,10,019e0488-9a53-79fd-a431-c423148a46dd,standardized,analytics/FactSales/v2/LOAD_DTS=20260220T131500000Z
019e0488-9a53-7261-ae4f-ee40157aa4f8,019e0488-9a53-7a0c-89c2-98286166c79e,2,2026-02-19T13:15:00Z,83000,270000000,completed,10,019e0488-9a53-79fd-a431-c423148a46dd,standardized,analytics/FactSales/v2/LOAD_DTS=20260219T131500000Z
019e0488-9a53-750a-9b37-685537a16842,019e0488-9a53-70a5-832e-12595a66faf5,2,2026-02-20T15:30:00Z,54000,1200000000,completed,9,019e0488-9a53-7a80-a59e-edec85e33294,standardized,analytics/PageViewEvent/v2/LOAD_DTS=20260220T153000000Z
019e0488-9a53-7e87-9458-a96b941d9d65,019e0488-9a53-7080-85b2-6e6464c0d325,1,2026-02-20T16:45:00Z,28000,620000000,completed,6,019e0488-9a53-7040-934c-8af1cd134d48,standardized,analytics/ClickEvent/v1/LOAD_DTS=20260220T164500000Z
019e0488-9a53-7753-84e7-46928847c9a5,019e0488-9a53-723a-be81-ed49cd179a05,1,2026-02-20T07:00:00Z,249,58000,completed,6,019e0488-9a53-7eb7-92e7-b89dc6c5d7c8,standardized,analytics/Country/v1/LOAD_DTS=20260220T070000000Z
019e0488-9a53-72c3-9444-dbd3c1a2baf7,019e0488-9a53-7b21-ba16-3b362baa4815,1,2026-02-20T07:15:00Z,180,42000,completed,5,019e0488-9a53-74f6-8239-53533b102e70,standardized,analytics/Currency/v1/LOAD_DTS=20260220T071500000Z
019e0488-9a53-7711-9082-d1564cb5d043,019e0488-9a53-7203-b971-1ca3f76a4c1f,3,2026-02-20T10:30:00Z,9100,25600000,completed,9,019e0488-9a53-7825-811b-761e3e99314c,standardized,analytics/Contact/v3/LOAD_DTS=20260220T103000000Z
019e0488-9a53-7b7e-bf8b-f02facaf482c,019e0488-9a53-7c5b-be3e-ae7933c031cf,2,2026-02-20T12:00:00Z,7200,21400000,completed,8,019e0488-9a53-7dbb-acde-8d30e45fd2fb,standardized,analytics/Inventory/v2/LOAD_DTS=20260220T120000000Z
019e0488-9a53-7fd1-a563-3e3bd969d8e2,019e0488-9a53-75f7-86df-5d2d65f06b39,2,2026-02-20T06:30:00Z,367,128000,completed,9,019e0488-9a53-7610-9b56-fef2778ca70b,standardized,analytics/DimDate/v2/LOAD_DTS=20260220T063000000Z
019e0488-9a53-7a66-afc2-78175c6046d1,019e0488-9a53-723a-be81-ed49cd179a05,2,2026-02-20T07:30:00Z,251,62000,completed,8,019e0488-9a53-7800-abc1-c7302f83e6ef,standardized,analytics/Country/v2/LOAD_DTS=20260220T073000000Z
019e0488-9a53-70dd-b3b4-7d40d84de612,019e0488-9a53-7b21-ba16-3b362baa4815,2,2026-02-20T07:45:00Z,185,48000,completed,7,019e0488-9a53-7b7a-8b7e-db30bbce0048,standardized,analytics/Currency/v2/LOAD_DTS=20260220T074500000Z
019e0488-9a53-773b-ab31-20f0d268e768,019e0488-9a53-7875-ab29-a6f5e2662452,1,2026-02-20T09:30:00Z,2450,680000,completed,8,019e0488-9a53-7dac-a94a-64225515bb48,standardized,analytics/Ticket/v1/LOAD_DTS=20260220T093000000Z
019e0488-9a53-74b2-b254-0eb46e1d54b1,019e0488-9a53-7875-ab29-a6f5e2662452,1,2026-02-19T09:30:00Z,2380,650000,completed,8,019e0488-9a53-7dac-a94a-64225515bb48,standardized,analytics/Ticket/v1/LOAD_DTS=20260219T093000000Z
019e0488-9a53-7613-8c44-8cda2a4ac81c,019e0488-9a53-7990-85fb-950fb8d525a8,1,2026-02-20T10:45:00Z,245,78000,completed,6,019e0488-9a53-746e-98c5-8399d132ff65,standardized,analytics/SupportAgent/v1/LOAD_DTS=20260220T104500000Z
019e0488-9a53-78e0-9f24-ee62d6cf62e4,019e0488-9a53-7990-85fb-950fb8d525a8,1,2026-02-19T10:45:00Z,242,75000,completed,6,019e0488-9a53-746e-98c5-8399d132ff65,standardized,analytics/SupportAgent/v1/LOAD_DTS=20260219T104500000Z
