"id","suite_id","suite_version","rule_id"
"019e0488-9a55-7d66-a7dc-d94961122809","019e0488-9a54-74a7-8a42-123dac4c8bff","1","019e0488-9a54-735c-86f2-409d0d749ff8"
"019e0488-9a55-77e7-855e-80c077c4b8af","019e0488-9a54-74a7-8a42-123dac4c8bff","1","019e0488-9a55-739c-82db-0b6cba193285"
"019e0488-9a55-7563-89b2-3468e8ad8a41","019e0488-9a54-74a7-8a42-123dac4c8bff","1","019e0488-9a55-7773-aaae-6b7c159526ef"
"019e0488-9a55-7228-ae3b-66a84b7e1ddd","019e0488-9a54-7c46-bff4-e0b4abb2bb83","1","019e0488-9a55-739c-82db-0b6cba193285"
"019e0488-9a55-7b9c-a0f9-bda5b84d894e","019e0488-9a54-7c46-bff4-e0b4abb2bb83","1","019e0488-9a55-7773-aaae-6b7c159526ef"
"019e0488-9a55-77a3-bd9b-007a303ae753","019e0488-9a54-768e-aa7c-e1115ffb25a1","1","019e0488-9a54-7663-9bf6-7e512282aaa2"
"019e0488-9a55-7b48-a2d9-4ff65c58d605","019e0488-9a54-768e-aa7c-e1115ffb25a1","1","019e0488-9a55-7b8b-9e15-28c6255d52ce"
"019e0488-9a55-784c-82fd-83e885161971","019e0488-9a54-768e-aa7c-e1115ffb25a1","1","019e0488-9a55-7696-8c22-7e3c2b3a6891"
"019e0488-9a55-7065-a13d-44e381e3f61b","019e0488-9a54-7a73-ae12-7355a3782d69","1","019e0488-9a55-771d-afc7-6a0f362aa455"
"019e0488-9a55-7485-9dd6-493937806c26","019e0488-9a54-7a73-ae12-7355a3782d69","1","019e0488-9a55-7782-8a29-d7cc7c7b8d8a"
"019e0488-9a55-7d93-98c0-aa4b1866b784","019e0488-9a54-7a73-ae12-7355a3782d69","1","019e0488-9a55-7fb4-a050-9197a1b11713"
"019e0488-9a55-7f84-9d28-0f9bf2dc8bd6","019e0488-9a54-7af3-8fca-c4bffc4baa6e","1","019e0488-9a55-7149-8e7f-04abd00f718f"
"019e0488-9a56-7caa-b001-000000000013","gx_customer_filtered_row_count_condition","1","019e0488-9a56-7caa-b001-000000000008"
