"data_delivery_id","delivery_format","file_count","ingestor_name","ingestor_run_id","source_system","source_snapshot_id","checksum","checksum_algorithm","metadata_json","layer","storage_location"
"019e0488-9a53-7188-8bed-30df830776e0","parquet","3","data-ingestor","019e0488-9a53-7ed0-9274-40eb6685ab56","customer-ingestor","019e0488-9a54-776f-8789-af599fac81a3","a1f3b2c4d5e6","sha256","data-delivery-notes/019e0488-9a53-7188-8bed-30df830776e0/metadata.json","standardized","S3"
"019e0488-9a53-7b8a-8694-f5213d02b890","parquet","3","data-ingestor","019e0488-9a53-7a40-af03-cc67c3c8d432","customer-ingestor","019e0488-9a54-7496-a64b-85634adff204","a1f3b2c4d5e7","sha256","data-delivery-notes/019e0488-9a53-7b8a-8694-f5213d02b890/metadata.json","standardized","S3"
"019e0488-9a53-7187-85e6-94cd1fbfcefe","parquet","3","data-ingestor","019e0488-9a53-7d82-8743-5140a9d09a0e","customer-ingestor","019e0488-9a54-7e40-b40f-98552138d642","a1f3b2c4d5e8","sha256","data-delivery-notes/019e0488-9a53-7187-85e6-94cd1fbfcefe/metadata.json","standardized","S3"
"019e0488-9a53-70e5-b087-0854f256da94","csv","2","data-ingestor","019e0488-9a53-7ba0-82c4-9f7eed07b517","contact-ingestor","019e0488-9a54-7b9e-b8b2-fe592f98ea03","b2a4c1d3e5f6","sha256","data-delivery-notes/019e0488-9a53-70e5-b087-0854f256da94/metadata.json","standardized","S3"
"019e0488-9a53-73ad-a3c5-89ec1c665e02","csv","2","data-ingestor","019e0488-9a53-7af0-a82e-685880d83757","contact-ingestor","019e0488-9a54-79d7-892d-2a526bd8fe86","b2a4c1d3e5f7","sha256","data-delivery-notes/019e0488-9a53-73ad-a3c5-89ec1c665e02/metadata.json","standardized","S3"
"019e0488-9a53-7bf9-acb3-337c7b084746","json","2","data-ingestor","019e0488-9a53-7620-a464-ad8f9bfa1b8f","order-ingestor","019e0488-9a54-7f3a-9ece-9507e419bd23","c3b5d6e7f8a1","sha256","data-delivery-notes/019e0488-9a53-7bf9-acb3-337c7b084746/metadata.json","standardized","S3"
"019e0488-9a53-764f-ad70-eae5a0839c0f","json","2","data-ingestor","019e0488-9a53-7560-acb5-16804329a339","order-ingestor","019e0488-9a54-74b8-b6de-dd86ead5ffdb","c3b5d6e7f8a2","sha256","data-delivery-notes/019e0488-9a53-764f-ad70-eae5a0839c0f/metadata.json","standardized","S3"
"019e0488-9a53-7a68-b558-f0347d75ec35","avro","3","finance-ingestor","019e0488-9a53-78a4-91a2-4628b6dad673","payments-ingestor","019e0488-9a54-720f-a1fa-de0924b14146","d4c6b7a8e9f1","sha256","data-delivery-notes/019e0488-9a53-7a68-b558-f0347d75ec35/metadata.json","standardized","Oracle"
"019e0488-9a53-7978-805a-79949a2dfa01","avro","3","finance-ingestor","019e0488-9a53-72a9-8b8f-336966163cfb","payments-ingestor","019e0488-9a54-7c83-8e82-3067a082c5c2","d4c6b7a8e9f2","sha256","data-delivery-notes/019e0488-9a53-7978-805a-79949a2dfa01/metadata.json","standardized","Oracle"
"019e0488-9a53-72a8-b2c3-3fed49503720","delta","2","product-ingestor","019e0488-9a53-7ee8-9e4c-3f843f2909ec","catalog-ingestor","019e0488-9a54-7f84-8230-b9d9be4db899","e5d7c8b9f1a2","sha256","data-delivery-notes/019e0488-9a53-72a8-b2c3-3fed49503720/metadata.json","standardized","S3"
"019e0488-9a53-7251-abac-b6c242ebdc81","delta","2","product-ingestor","019e0488-9a53-7b8f-8c45-45dd10e5ed59","catalog-ingestor","019e0488-9a54-761d-b808-0313a4ef2a44","e5d7c8b9f1a3","sha256","data-delivery-notes/019e0488-9a53-7251-abac-b6c242ebdc81/metadata.json","standardized","S3"
"019e0488-9a53-7995-96be-12d9dc3b8bb7","iceberg","2","warehouse-ingestor","019e0488-9a53-736d-9625-3c376958bf6b","warehouse","019e0488-9a54-789b-bf17-6d39bb2195cd","f1e2d3c4b5a6","sha256","data-delivery-notes/019e0488-9a53-7995-96be-12d9dc3b8bb7/metadata.json","standardized","S3"
"019e0488-9a53-7e29-a15f-ff2f1087e323","hudi","2","analytics-ingestor","019e0488-9a53-7e9a-b808-0efe4c466495","warehouse","019e0488-9a54-7629-ae6e-303282dfbf07","f1e2d3c4b5a7","sha256","data-delivery-notes/019e0488-9a53-7e29-a15f-ff2f1087e323/metadata.json","standardized","S3"
"019e0488-9a53-7dee-87fa-0dd2dd7b3bed","parquet","4","analytics-ingestor","019e0488-9a53-76c7-8163-18f2013e073e","warehouse","019e0488-9a54-77d2-8b2a-c09ee7a01fdc","f2e3d4c5b6a7","sha256","data-delivery-notes/019e0488-9a53-7dee-87fa-0dd2dd7b3bed/metadata.json","standardized","S3"
"019e0488-9a53-7261-ae4f-ee40157aa4f8","parquet","4","analytics-ingestor","019e0488-9a54-74c9-b9d6-08dec8b45b4e","warehouse","019e0488-9a54-7bd2-ac28-a71a938d0c89","f2e3d4c5b6a8","sha256","data-delivery-notes/019e0488-9a53-7261-ae4f-ee40157aa4f8/metadata.json","standardized","S3"
"019e0488-9a53-750a-9b37-685537a16842","csv","2","web-ingestor","019e0488-9a54-702c-8504-c54dc96ef01b","web-analytics","019e0488-9a54-7a02-be0c-2bfbd657ae8f","g1h2i3j4k5l6","sha256","data-delivery-notes/019e0488-9a53-750a-9b37-685537a16842/metadata.json","standardized","S3"
"019e0488-9a53-7e87-9458-a96b941d9d65","json","2","web-ingestor","019e0488-9a54-7e53-a8b8-2d8dd120fc3d","web-analytics","019e0488-9a54-7312-8d87-b4a551a37960","g1h2i3j4k5l7","sha256","data-delivery-notes/019e0488-9a53-7e87-9458-a96b941d9d65/metadata.json","standardized","S3"
"019e0488-9a53-7753-84e7-46928847c9a5","avro","2","reference-ingestor","019e0488-9a54-7165-a54d-d9c204d5e3be","reference-data","019e0488-9a54-7904-9dbc-011efae1d7b9","h1i2j3k4l5m6","sha256","data-delivery-notes/019e0488-9a53-7753-84e7-46928847c9a5/metadata.json","standardized","S3"
"019e0488-9a53-72c3-9444-dbd3c1a2baf7","parquet","2","reference-ingestor","019e0488-9a54-7351-9ba0-af36fcb0d348","reference-data","019e0488-9a54-72e7-b9a4-2eed1e7163ba","h1i2j3k4l5m7","sha256","data-delivery-notes/019e0488-9a53-72c3-9444-dbd3c1a2baf7/metadata.json","standardized","S3"
"019e0488-9a53-7711-9082-d1564cb5d043","csv","2","data-ingestor","019e0488-9a54-7514-95dd-cddc2a2c27b1","payments-ingestor","019e0488-9a54-700a-9057-27b99f30e957","b2a4c1d3e5f8","sha256","data-delivery-notes/019e0488-9a53-7711-9082-d1564cb5d043/metadata.json","standardized","ADLS"
"019e0488-9a53-7b7e-bf8b-f02facaf482c","iceberg","2","warehouse-ingestor","019e0488-9a53-7620-a464-ad8f9bfa1b8f","warehouse","019e0488-9a54-7f3a-9ece-9507e419bd23","f1e2d3c4b5a8","sha256","data-delivery-notes/019e0488-9a53-7b7e-bf8b-f02facaf482c/metadata.json","standardized","S3"
"019e0488-9a53-7fd1-a563-3e3bd969d8e2","hudi","2","analytics-ingestor","019e0488-9a54-74c8-b940-acddeff15b55","warehouse","019e0488-9a54-72ae-b131-0306d0b15a77","f1e2d3c4b5a9","sha256","data-delivery-notes/019e0488-9a53-7fd1-a563-3e3bd969d8e2/metadata.json","standardized","S3"
"019e0488-9a53-7a66-afc2-78175c6046d1","avro","2","reference-ingestor","019e0488-9a54-777c-a6e1-7f8bcebcc624","reference-data","019e0488-9a54-700e-bc1d-7594616d89ce","h1i2j3k4l5m8","sha256","data-delivery-notes/019e0488-9a53-7a66-afc2-78175c6046d1/metadata.json","standardized","S3"
"019e0488-9a53-70dd-b3b4-7d40d84de612","parquet","2","reference-ingestor","019e0488-9a54-7406-b823-0a2f78d37b39","reference-data","019e0488-9a54-749b-9ce5-380847d3735b","h1i2j3k4l5m9","sha256","data-delivery-notes/019e0488-9a53-70dd-b3b4-7d40d84de612/metadata.json","standardized","S3"
"019e0488-9a53-773b-ab31-20f0d268e768","csv","2","support-ingestor","019e0488-9a54-76e5-8d43-502e247ba236","support-system","019e0488-9a54-733f-9213-f6fd999fa5ae","i1j2k3l4m5n6","sha256","data-delivery-notes/019e0488-9a53-773b-ab31-20f0d268e768/metadata.json","standardized","S3"
"019e0488-9a53-74b2-b254-0eb46e1d54b1","csv","2","support-ingestor","019e0488-9a54-7264-9dca-0322fdd69f3f","support-system","019e0488-9a54-7098-a1e0-7ac6e1a865d3","i1j2k3l4m5n7","sha256","data-delivery-notes/019e0488-9a53-74b2-b254-0eb46e1d54b1/metadata.json","standardized","S3"
"019e0488-9a53-7613-8c44-8cda2a4ac81c","delta","2","support-ingestor","019e0488-9a54-755d-a9db-3d78749cacd7","support-system","019e0488-9a54-790d-8ae8-89ab5196b14c","i1j2k3l4m5n8","sha256","data-delivery-notes/019e0488-9a53-7613-8c44-8cda2a4ac81c/metadata.json","standardized","S3"
"019e0488-9a53-78e0-9f24-ee62d6cf62e4","delta","2","support-ingestor","019e0488-9a54-7000-a626-599c23e03686","support-system","019e0488-9a54-7cc1-bd3b-4c56a98ab62d","i1j2k3l4m5n9","sha256","data-delivery-notes/019e0488-9a53-78e0-9f24-ee62d6cf62e4/metadata.json","standardized","S3"
"019e0488-9a53-72c3-bfde-b5e0a931161f","iceberg","2","marketing-ingestor","019e0488-9a54-7ebf-ab8d-b0ed06a64002","campaigns","019e0488-9a54-7995-9de8-ec1f3b50b414","j1k2l3m4n5o6","sha256","data-delivery-notes/019e0488-9a53-72c3-bfde-b5e0a931161f/metadata.json","standardized","S3"
"019e0488-9a53-74ff-9779-b5db41dcc809","iceberg","2","marketing-ingestor","019e0488-9a54-7940-878b-d3678175408c","campaigns","019e0488-9a54-7619-981c-7b4c4a298386","j1k2l3m4n5o7","sha256","data-delivery-notes/019e0488-9a53-74ff-9779-b5db41dcc809/metadata.json","standardized","S3"
"019e0488-9a53-7c40-9721-a4ae37af8412","hudi","2","compliance-ingestor","019e0488-9a54-7d00-bd93-fbb7885abcbd","compliance","019e0488-9a54-7b0b-b69e-0417eaa5968e","k1l2m3n4o5p6","sha256","data-delivery-notes/019e0488-9a53-7c40-9721-a4ae37af8412/metadata.json","standardized","S3"
"019e0488-9a53-7985-a975-110377441d27","hudi","2","compliance-ingestor","019e0488-9a54-7809-ac23-de5be88dab05","compliance","019e0488-9a54-7fae-ba74-bcc89b872869","k1l2m3n4o5p7","sha256","data-delivery-notes/019e0488-9a53-7985-a975-110377441d27/metadata.json","standardized","S3"
"019e0488-9a53-765a-afe8-73e4a1585acc","parquet","3","data-ingestor","019e0488-9a54-7846-a107-e4363f1c321b","customer-ingestor","019e0488-9a54-7bb1-880b-f45545901205","a1f3b2c4d5e9","sha256","data-delivery-notes/019e0488-9a53-765a-afe8-73e4a1585acc/metadata.json","standardized","S3"
"019e0488-9a53-751c-9c6d-9f8caa2dcdb0","json","2","data-ingestor","019e0488-9a54-7827-83a8-db56da72d2e8","order-ingestor","019e0488-9a54-7534-8021-0dde0c0745cb","c3b5d6e7f8a3","sha256","data-delivery-notes/019e0488-9a53-751c-9c6d-9f8caa2dcdb0/metadata.json","standardized","S3"
"019e0488-9a53-7223-bad8-92536768b2dc","avro","3","data-ingestor","019e0488-9a54-75b3-a8d2-4054498cd7bc","crm","019e0488-9a54-71ec-9a1f-bc09a0e1bf9e","b2f3d8c2e1f4","sha256","data-delivery-notes/019e0488-9a53-7223-bad8-92536768b2dc/metadata.json","standardized","S3"
"019e0488-9a53-7936-877f-3a2c18598ce4","parquet","4","data-ingestor","019e0488-9a54-7b14-ba8d-11181e813ebd","crm","019e0488-9a54-7d4f-b9e9-1332388e184d","c4f7a11bb1a9","sha256","data-delivery-notes/019e0488-9a53-7936-877f-3a2c18598ce4/metadata.json","standardized","S3"
