"id","rule_id","version_number","created_at","created_by","change_type","change_description","name","description","expression","dimension","active","is_template","template_id","tags","marked_for_rollback","validation_status","validated_at","validated_by","dsl","taxonomy","data_steward","domain_owner","technical_owner"
"019e0488-9a56-7caa-b001-000000000002","019e0488-9a56-7caa-b001-000000000001","1","2026-05-19T09:00:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-36","Seed version snapshot","seed_expression_36","Uniqueness","true","false","","rule_versions/019e0488-9a56-7caa-b001-000000000002/tags.json","false","validated","2026-05-19T09:00:00Z","data-steward-user","rule_versions/019e0488-9a56-7caa-b001-000000000002/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000004","019e0488-9a56-7caa-b001-000000000003","1","2026-05-19T09:02:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-37","Seed version snapshot","seed_expression_37","Validity","true","false","","rule_versions/019e0488-9a56-7caa-b001-000000000004/tags.json","false","validated","2026-05-19T09:02:00Z","data-steward-user","rule_versions/019e0488-9a56-7caa-b001-000000000004/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7313-bcc5-da5431b6bd14","019e0488-9a55-7177-a9f7-1118ca1aea5a","1","2026-03-01T10:00:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-1","Seed version snapshot","seed_expression_1","Validity","true","false","","rule_versions/019e0488-9a55-7313-bcc5-da5431b6bd14/tags.json","false","validated","2026-03-05T09:00:00Z","data-steward-user","rule_versions/019e0488-9a55-7313-bcc5-da5431b6bd14/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a54-73e0-9eaa-75341c333ac1","019e0488-9a54-7663-9bf6-7e512282aaa2","1","2026-03-01T10:01:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-2","Seed version snapshot","seed_expression_2","Validity","true","false","","rule_versions/019e0488-9a54-73e0-9eaa-75341c333ac1/tags.json","false","validated","2026-03-05T09:15:00Z","data-steward-user","rule_versions/019e0488-9a54-73e0-9eaa-75341c333ac1/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a54-7972-9ef2-465e10ea5937","019e0488-9a54-735c-86f2-409d0d749ff8","1","2026-03-01T10:02:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-3","Seed version snapshot","seed_expression_3","Validity","true","false","","rule_versions/019e0488-9a54-7972-9ef2-465e10ea5937/tags.json","false","validated","2026-03-05T09:30:00Z","data-steward-user","rule_versions/019e0488-9a54-7972-9ef2-465e10ea5937/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7700-8638-3100486d9d0d","019e0488-9a55-757f-bd2b-b88b0d6ed097","1","2026-03-01T10:03:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-4","Seed version snapshot","seed_expression_4","Validity","true","false","","rule_versions/019e0488-9a55-7700-8638-3100486d9d0d/tags.json","false","validated","2026-03-06T14:00:00Z","u0","rule_versions/019e0488-9a55-7700-8638-3100486d9d0d/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7104-8ab3-e607079442be","019e0488-9a55-7975-8bb5-a6cd646802a8","1","2026-03-01T10:04:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-5","Seed version snapshot","seed_expression_5","Validity","true","false","","rule_versions/019e0488-9a55-7104-8ab3-e607079442be/tags.json","false","validated","2026-03-06T14:20:00Z","u0","rule_versions/019e0488-9a55-7104-8ab3-e607079442be/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-72cf-8305-00dd34b1a21d","019e0488-9a55-771d-afc7-6a0f362aa455","1","2026-03-01T10:05:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-6","Seed version snapshot","seed_expression_6","Validity","true","false","","rule_versions/019e0488-9a55-72cf-8305-00dd34b1a21d/tags.json","false","validated","2026-03-05T10:05:00Z","data-steward-user","rule_versions/019e0488-9a55-72cf-8305-00dd34b1a21d/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7cbd-9ded-e77584aae6ed","019e0488-9a55-7b8b-9e15-28c6255d52ce","1","2026-03-01T10:06:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-7","Seed version snapshot","seed_expression_7","Validity","true","false","","rule_versions/019e0488-9a55-7cbd-9ded-e77584aae6ed/tags.json","false","validated","2026-03-05T10:06:00Z","data-steward-user","rule_versions/019e0488-9a55-7cbd-9ded-e77584aae6ed/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7a6f-a4a3-64128735c99a","019e0488-9a55-7062-bdfc-3b38fa967825","1","2026-03-01T10:07:00Z","data-steward-user","created","Initial version from CSV seed","seed-rule-8","Seed version snapshot","seed_expression_8","Validity","true","false","","rule_versions/019e0488-9a55-7a6f-a4a3-64128735c99a/tags.json","false","validated","2026-03-05T10:07:00Z","data-steward-user","rule_versions/019e0488-9a55-7a6f-a4a3-64128735c99a/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
