"id","name","type","nullable","format","is_cde","data_object_id","version_id","is_primary_key","is_business_key"
"019e0488-9a53-7ccd-902e-899cfb85a7d0","customer_id","string","false","uuid","true","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7392-8d9a-b1ecfd6a5d6b","true","false"
"019e0488-9a53-7f33-b333-14e6fae3d50f","email","string","false","email","true","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7392-8d9a-b1ecfd6a5d6b","false","false"
"019e0488-9a53-710b-b822-08204a402c44","first_name","string","false","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7392-8d9a-b1ecfd6a5d6b","false","false"
"019e0488-9a53-7258-a061-19afed55efd2","last_name","string","false","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7392-8d9a-b1ecfd6a5d6b","false","false"
"019e0488-9a53-78db-aeb7-a60beced0250","customer_id","string","false","uuid","true","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","true","false"
"019e0488-9a53-744e-b68c-0feaf129ede4","email","string","false","email","true","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","false","false"
"019e0488-9a53-7c96-8f62-47e08ba45345","first_name","string","false","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","false","false"
"019e0488-9a53-7a4b-93d8-777facfff87e","last_name","string","false","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","false","false"
"019e0488-9a53-7915-8b5d-d6b72b3b9077","created_at","timestamp","false","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7392-8d9a-b1ecfd6a5d6b","false","false"
"019e0488-9a53-7b1b-81b8-a60841f88de4","phone","string","true","phone","true","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","false","false"
"019e0488-9a53-76ec-8f8a-b263a2136165","customer_segment","string","true","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","false","false"
"019e0488-9a53-7410-ba50-aea39fc9b58c","lifetime_value","decimal","true","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a41-86dc-5b725064f27d","false","false"
"019e0488-9a53-7d41-979f-ae9daa02ad7e","preferred_language","string","true","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a7f-8cde-a785bd046bc9","false","false"
"019e0488-9a53-7554-b60c-62fe13342371","is_active","boolean","false","","false","019e0488-9a53-7c72-af10-87d726eef784","019e0488-9a53-7a7f-8cde-a785bd046bc9","false","true"
"019e0488-9a53-7df1-90b7-d96058de14ec","contact_id","string","false","uuid","false","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7fff-b124-7b814204e320","true","false"
"019e0488-9a53-79c3-8e14-06f9a3dfa970","customer_id","string","false","uuid","true","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7fff-b124-7b814204e320","false","false"
"019e0488-9a53-74d2-9129-9e4f3cc622a5","contact_type","string","false","","false","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7fff-b124-7b814204e320","false","false"
"019e0488-9a53-71b4-ba4d-cf639eb8a55e","phone_number","string","true","","true","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7fff-b124-7b814204e320","false","false"
"019e0488-9a53-7ab8-bcc7-2a00dd42e3ec","email_address","string","true","email","true","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7fff-b124-7b814204e320","false","false"
"019e0488-9a53-7b3f-83d9-6908c17f14bf","contact_id","string","false","uuid","false","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","true","false"
"019e0488-9a53-73f8-8adf-bebfda001367","customer_id","string","false","uuid","true","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","false","false"
"019e0488-9a53-7a3d-a945-34c7f6dce7b5","contact_type","string","false","","false","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","false","false"
"019e0488-9a53-7088-8971-51578b6b096e","phone_number","string","true","","true","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","false","false"
"019e0488-9a53-75a7-b925-3bdb39996b40","email_address","string","true","email","true","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","false","false"
"019e0488-9a53-78da-b1bd-adc94123419e","is_primary","boolean","false","","false","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","false","false"
"019e0488-9a53-7bf1-8d71-685ed98b6ee4","verified_at","timestamp","true","","false","019e0488-9a53-7203-b971-1ca3f76a4c1f","019e0488-9a53-7696-a119-0df02b990033","false","false"
"019e0488-9a53-79e8-8be0-2e346f48d3c8","order_id","string","false","uuid","true","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7b0a-a08c-60cd62239d27","true","false"
"019e0488-9a53-747d-a37c-e3092e7d428f","customer_id","string","false","uuid","true","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7b0a-a08c-60cd62239d27","false","false"
"019e0488-9a53-7471-8a53-6792ae8cce60","order_date","date","false","","false","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7b0a-a08c-60cd62239d27","false","false"
"019e0488-9a53-7f01-a813-28c764c95409","total_amount","decimal","false","","true","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7b0a-a08c-60cd62239d27","false","false"
"019e0488-9a53-792f-b3e5-9677d7d5e1d4","status","string","false","","false","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7b0a-a08c-60cd62239d27","false","false"
"019e0488-9a53-78d6-825b-b7ec93cc8f9f","currency","string","false","","false","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7b0a-a08c-60cd62239d27","false","false"
"019e0488-9a53-76fd-9bbb-e3a5c75c9f58","discount_amount","decimal","true","","false","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7f31-9445-917a81329425","false","false"
"019e0488-9a53-7074-9cf2-7ed79b5202b9","shipping_cost","decimal","true","","false","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7f31-9445-917a81329425","false","false"
"019e0488-9a53-7458-91e8-a3f42b5a7fb3","delivery_date","date","true","","false","019e0488-9a53-7a36-bc19-d93e75ef1e05","019e0488-9a53-7f31-9445-917a81329425","false","false"
"019e0488-9a53-7945-8d57-e9b8e796702a","transaction_id","string","false","uuid","true","019e0488-9a53-785b-990e-2f4738a0f9eb","019e0488-9a53-7f7a-ab20-e34001592518","true","false"
"019e0488-9a53-77c3-be52-1605fe3c024f","order_id","string","false","uuid","true","019e0488-9a53-785b-990e-2f4738a0f9eb","019e0488-9a53-7f7a-ab20-e34001592518","false","false"
