"user_id","role_id"
"019e0488-9a56-766b-97f9-a908083a2026","admin"
"c79dda46-5753-4131-9ac3-323f400ccf73","admin"
"019e0488-9a54-7f95-8b19-df83e6b355a4","admin"
"019e0488-9a54-7fc4-ba3c-7f34580f9e93","user"
"019e0488-9a54-7fc4-ba3c-7f34580f9e93","r02"
"019e0488-9a56-73fd-9e19-c78020e55dc6","user"
"019e0488-9a56-73fd-9e19-c78020e55dc6","r01"
"019e0488-9a56-73fd-9e19-c78020e55dc6","rule-approver"
"019e0488-9a56-7243-b28d-328e65883d4a","viewer"
"019e0488-9a56-751b-b1f9-e5513d9be2a1","viewer"
"019e0488-9a56-77e6-83b4-4a5990ad6ec9","viewer"
"019e0488-9a56-7071-b3bd-f2f229f2299d","viewer"
"019e0488-9a56-7473-b013-aaa49808bba0","viewer"
"019e0488-9a56-7c95-86cc-4d4d43303001","viewer"
"019e0488-9a56-74b6-bd9b-53f2262a0708","viewer"
"019e0488-9a56-7d55-a8d2-ffe001718684","viewer"
"019e0488-9a56-7fb2-a339-dec9a7cee42a","viewer"
"019e0488-9a56-7a46-b42a-3d697c230671","viewer"
"019e0488-9a56-756b-b398-3f7b829da857","viewer"
"019e0488-9a56-7bd5-b347-7b2794a6966d","viewer"
"019e0488-9a56-7f75-ae3c-76085539ef42","viewer"
"019e0488-9a56-7d64-b6e0-a482f9388bc5","viewer"
"019e0488-9a56-758b-92ed-f85e08c4e281","admin"
"019e0488-9a56-758b-92ed-f85e08c4e281","cross-admin"
"019e0488-9a56-70ed-99a0-477cb90c8d5e","user"
"019e0488-9a56-70ed-99a0-477cb90c8d5e","r02"
"019e0488-9a56-7c43-bb35-c26e8caedd54","r11"
"019e0488-9a56-7fda-ab87-50518de60f2f","r12"
"019e0488-9a56-7fda-ab87-50518de60f2f","cross-admin"
"019e0488-9a56-7eae-b93c-002f119054f6","r01"
"019e0488-9a56-7eae-b93c-002f119054f6","r04"
"019e0488-9a56-709b-88be-3fc5ec6f46fa","user"
"019e0488-9a56-709b-88be-3fc5ec6f46fa","r01"
"019e0488-9a56-7607-bb44-aa7780e29641","user"
"019e0488-9a56-7607-bb44-aa7780e29641","r02"
"019e0488-9a56-7607-bb44-aa7780e29641","rule-approver"
"019e0488-9a56-746e-8e96-dc361abffee4","viewer"
"019e0488-9a56-7f11-a746-8d0b41d36f25","operator"
"019e0488-9a56-75bf-afcb-5243bed3fc3a","auditor"
"019e0488-9a56-7ca7-878e-0117893c9784","regulator"
