"id","data_object_id","version","created_at","schema_hash","attribute_count","storage_uri","storage_format","storage_options_json"
"019e0488-9a53-7392-8d9a-b1ecfd6a5d6b","019e0488-9a53-7c72-af10-87d726eef784","1","2025-01-15T10:00:00Z","v1_abc123","4","","","data-object-versions/019e0488-9a53-7392-8d9a-b1ecfd6a5d6b/storage_options.json"
"019e0488-9a53-7a41-86dc-5b725064f27d","019e0488-9a53-7c72-af10-87d726eef784","2","2025-06-10T14:30:00Z","v2_def456","8","","","data-object-versions/019e0488-9a53-7a41-86dc-5b725064f27d/storage_options.json"
"019e0488-9a53-7a7f-8cde-a785bd046bc9","019e0488-9a53-7c72-af10-87d726eef784","3","2026-01-20T09:15:00Z","v3_ghi789","10","s3a://retail-banking/standardized/analytics/Customer/v3/LOAD_DTS=20260222T083000000Z","parquet","data-object-versions/019e0488-9a53-7a7f-8cde-a785bd046bc9/storage_options.json"
"019e0488-9a56-7caa-b001-00000000000c","019e0488-9a53-7c72-af10-87d726eef784","4","2026-05-19T09:20:00Z","contact_v4_high_invalid_email","3","","","data-object-versions/019e0488-9a56-7caa-b001-00000000000c/storage_options.json"
"019e0488-9a53-7fff-b124-7b814204e320","019e0488-9a53-7203-b971-1ca3f76a4c1f","1","2025-02-01T10:00:00Z","contact_v1","5","","","data-object-versions/019e0488-9a53-7fff-b124-7b814204e320/storage_options.json"
"019e0488-9a53-7696-a119-0df02b990033","019e0488-9a53-7203-b971-1ca3f76a4c1f","2","2025-09-10T15:45:00Z","contact_v2","7","","","data-object-versions/019e0488-9a53-7696-a119-0df02b990033/storage_options.json"
"019e0488-9a53-7825-811b-761e3e99314c","019e0488-9a53-7203-b971-1ca3f76a4c1f","3","2026-02-10T11:30:00Z","contact_v3","9","","","data-object-versions/019e0488-9a53-7825-811b-761e3e99314c/storage_options.json"
"019e0488-9a53-7b0a-a08c-60cd62239d27","019e0488-9a53-7a36-bc19-d93e75ef1e05","1","2025-02-01T10:00:00Z","order_v1","6","","","data-object-versions/019e0488-9a53-7b0a-a08c-60cd62239d27/storage_options.json"
"019e0488-9a53-7f31-9445-917a81329425","019e0488-9a53-7a36-bc19-d93e75ef1e05","2","2025-11-15T11:20:00Z","order_v2","9","","","data-object-versions/019e0488-9a53-7f31-9445-917a81329425/storage_options.json"
"019e0488-9a53-7f7a-ab20-e34001592518","019e0488-9a53-785b-990e-2f4738a0f9eb","1","2025-03-01T10:00:00Z","transaction_v1","7","","","data-object-versions/019e0488-9a53-7f7a-ab20-e34001592518/storage_options.json"
"019e0488-9a53-76be-ab52-240e4250f6a4","019e0488-9a53-785b-990e-2f4738a0f9eb","2","2025-12-01T08:30:00Z","transaction_v2","10","s3a://dq-test-data/data_object_version_id=019e0488-9a53-76be-ab52-240e4250f6a4/attr_hash=all/sample_count=1000/format=parquet","parquet","data-object-versions/019e0488-9a53-76be-ab52-240e4250f6a4/storage_options.json"
"019e0488-9a53-77fa-9a22-cff40798361e","019e0488-9a53-785b-990e-2f4738a0f9eb","3","2026-04-18T10:00:00Z","transaction_v3_amount_integer","10","","","data-object-versions/019e0488-9a53-77fa-9a22-cff40798361e/storage_options.json"
"019e0488-9a53-75b6-aaff-83ed9d6f7f4b","019e0488-9a53-7dd4-91fb-42cbc0ac809a","1","2025-04-01T10:00:00Z","product_v1","6","","","data-object-versions/019e0488-9a53-75b6-aaff-83ed9d6f7f4b/storage_options.json"
"019e0488-9a53-7154-a09b-cdc371ca11d6","019e0488-9a53-7dd4-91fb-42cbc0ac809a","2","2025-10-05T13:00:00Z","product_v2","9","","","data-object-versions/019e0488-9a53-7154-a09b-cdc371ca11d6/storage_options.json"
"019e0488-9a53-7f29-af9c-00ceda87d180","019e0488-9a53-7c5b-be3e-ae7933c031cf","1","2025-04-15T10:00:00Z","inventory_v1","6","","","data-object-versions/019e0488-9a53-7f29-af9c-00ceda87d180/storage_options.json"
"019e0488-9a53-7dbb-acde-8d30e45fd2fb","019e0488-9a53-7c5b-be3e-ae7933c031cf","2","2026-01-25T14:15:00Z","inventory_v2","8","","","data-object-versions/019e0488-9a53-7dbb-acde-8d30e45fd2fb/storage_options.json"
"019e0488-9a53-742a-b846-c5671ba06141","019e0488-9a53-75f7-86df-5d2d65f06b39","1","2025-05-01T10:00:00Z","dimdate_v1","7","","","data-object-versions/019e0488-9a53-742a-b846-c5671ba06141/storage_options.json"
"019e0488-9a53-7610-9b56-fef2778ca70b","019e0488-9a53-75f7-86df-5d2d65f06b39","2","2026-02-01T09:45:00Z","dimdate_v2","9","","","data-object-versions/019e0488-9a53-7610-9b56-fef2778ca70b/storage_options.json"
"019e0488-9a53-7c53-af6d-dc1b3a108d85","019e0488-9a53-7a0c-89c2-98286166c79e","1","2025-05-10T10:00:00Z","factsales_v1","7","","","data-object-versions/019e0488-9a53-7c53-af6d-dc1b3a108d85/storage_options.json"
"019e0488-9a53-79fd-a431-c423148a46dd","019e0488-9a53-7a0c-89c2-98286166c79e","2","2025-12-10T14:20:00Z","factsales_v2","10","","","data-object-versions/019e0488-9a53-79fd-a431-c423148a46dd/storage_options.json"
"019e0488-9a53-7d56-b002-29882bf5fed0","019e0488-9a53-70a5-832e-12595a66faf5","1","2025-06-01T10:00:00Z","pageview_v1","5","","","data-object-versions/019e0488-9a53-7d56-b002-29882bf5fed0/storage_options.json"
"019e0488-9a53-7a80-a59e-edec85e33294","019e0488-9a53-70a5-832e-12595a66faf5","2","2025-11-20T16:45:00Z","pageview_v2","9","","","data-object-versions/019e0488-9a53-7a80-a59e-edec85e33294/storage_options.json"
"019e0488-9a53-7040-934c-8af1cd134d48","019e0488-9a53-7080-85b2-6e6464c0d325","1","2025-06-10T10:00:00Z","click_v1","6","","","data-object-versions/019e0488-9a53-7040-934c-8af1cd134d48/storage_options.json"
"019e0488-9a53-7eb7-92e7-b89dc6c5d7c8","019e0488-9a53-723a-be81-ed49cd179a05","1","2025-07-01T10:00:00Z","country_v1","6","","","data-object-versions/019e0488-9a53-7eb7-92e7-b89dc6c5d7c8/storage_options.json"
"019e0488-9a53-7800-abc1-c7302f83e6ef","019e0488-9a53-723a-be81-ed49cd179a05","2","2026-02-05T10:20:00Z","country_v2","8","","","data-object-versions/019e0488-9a53-7800-abc1-c7302f83e6ef/storage_options.json"
"019e0488-9a53-74f6-8239-53533b102e70","019e0488-9a53-7b21-ba16-3b362baa4815","1","2025-07-05T10:00:00Z","currency_v1","5","","","data-object-versions/019e0488-9a53-74f6-8239-53533b102e70/storage_options.json"
"019e0488-9a53-7b7a-8b7e-db30bbce0048","019e0488-9a53-7b21-ba16-3b362baa4815","2","2026-02-08T13:40:00Z","currency_v2","7","","","data-object-versions/019e0488-9a53-7b7a-8b7e-db30bbce0048/storage_options.json"
"019e0488-9a53-7dac-a94a-64225515bb48","019e0488-9a53-7875-ab29-a6f5e2662452","1","2025-08-01T10:00:00Z","ticket_v1","8","","","data-object-versions/019e0488-9a53-7dac-a94a-64225515bb48/storage_options.json"
"019e0488-9a53-746e-98c5-8399d132ff65","019e0488-9a53-7990-85fb-950fb8d525a8","1","2025-08-10T10:00:00Z","agent_v1","6","","","data-object-versions/019e0488-9a53-746e-98c5-8399d132ff65/storage_options.json"
"019e0488-9a53-7d56-bb46-0c8c98d2b7d2","019e0488-9a53-75c0-8f05-efaf34cfd592","1","2025-09-15T10:00:00Z","campaign_v1","7","","","data-object-versions/019e0488-9a53-7d56-bb46-0c8c98d2b7d2/storage_options.json"
"019e0488-9a53-736e-97d2-d2b0d1991737","019e0488-9a53-7d9c-a5bf-8c653380ed37","1","2025-09-20T10:00:00Z","compliance_v1","8","","","data-object-versions/019e0488-9a53-736e-97d2-d2b0d1991737/storage_options.json"
